epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.092,0.27969,0.80551,1.03161,0.79726,0.82215,0.78874,0.73273,0.40657,0.4801,0.58264,0.000828443,0.000828443,0.000828443
43,122.875,0.25335,0.76305,0.99368,0.72757,0.85849,0.81727,0.73315,0.52494,0.47198,0.72183,0.000820525,0.000820525,0.000820525
44,125.65,0.26252,0.82105,0.99913,0.80996,0.73456,0.83701,0.75331,0.53161,0.51447,0.75114,0.000812468,0.000812468,0.000812468
45,128.406,0.25735,0.82164,1.01053,0.74118,0.88432,0.82386,0.75537,0.38724,0.39465,0.54485,0.000804277,0.000804277,0.000804277
46,131.186,0.26279,0.85506,1.01223,0.80846,0.86608,0.87257,0.86579,0.29341,0.39824,0.44017,0.000795954,0.000795954,0.000795954
47,134.015,0.24563,0.78552,0.99499,0.74802,0.87761,0.87137,0.81611,0.36821,0.3724,0.53369,0.000787503,0.000787503,0.000787503
48,136.788,0.24666,0.81944,0.99133,0.74428,0.87637,0.8029,0.72726,0.45291,0.48653,0.5884,0.000778929,0.000778929,0.000778929
49,139.548,0.2617,0.78719,1.00367,0.72382,0.8697,0.8171,0.73539,0.48284,0.45837,0.62766,0.000770234,0.000770234,0.000770234
50,142.334,0.24841,0.74258,0.99013,0.77852,0.85536,0.82819,0.74537,0.50692,0.47618,0.65598,0.000761423,0.000761423,0.000761423
51,145.118,0.23912,0.74973,0.98816,0.79886,0.84472,0.79979,0.7202,0.48724,0.49876,0.63392,0.0007525,0.0007525,0.0007525
52,147.908,0.24302,0.75505,1.00215,0.80654,0.85801,0.86484,0.7844,0.4249,0.41777,0.56078,0.000743468,0.000743468,0.000743468
53,150.673,0.25478,0.77615,0.99189,0.79687,0.87532,0.86106,0.79562,0.3757,0.38218,0.49891,0.000734332,0.000734332,0.000734332
54,153.671,0.22041,0.75095,0.98804,0.77588,0.78977,0.8261,0.82047,0.2675,0.36801,0.37438,0.000725094,0.000725094,0.000725094
55,156.454,0.22223,0.73341,0.98958,0.67991,0.87628,0.80384,0.76369,0.38022,0.4184,0.51734,0.000715761,0.000715761,0.000715761
56,159.227,0.24324,0.77807,0.9982,0.75607,0.74377,0.80527,0.73143,0.41586,0.44488,0.54453,0.000706335,0.000706335,0.000706335
57,161.989,0.24579,0.72915,0.99881,0.72859,0.79159,0.80669,0.72602,0.54054,0.4492,0.70516,0.00069682,0.00069682,0.00069682
58,164.769,0.25735,0.72644,1.01453,0.71661,0.87297,0.78677,0.70559,0.53357,0.47389,0.738,0.000687222,0.000687222,0.000687222
59,167.549,0.22492,0.74478,0.98113,0.71328,0.76341,0.7819,0.71414,0.43049,0.48393,0.58005,0.000677543,0.000677543,0.000677543
60,170.332,0.23832,0.7177,0.99749,0.68681,0.69411,0.76008,0.72536,0.35753,0.46705,0.46524,0.000667789,0.000667789,0.000667789
61,173.104,0.23569,0.72633,0.9803,0.74707,0.72619,0.79266,0.7099,0.59095,0.51408,0.82015,0.000657963,0.000657963,0.000657963
62,175.891,0.2493,0.68783,1.00973,0.70665,0.79986,0.7519,0.73863,0.28252,0.45975,0.40891,0.000648071,0.000648071,0.000648071
63,178.666,0.23139,0.75628,0.98992,0.76045,0.66272,0.77345,0.76354,0.2692,0.48259,0.38301,0.000638115,0.000638115,0.000638115
64,181.447,0.20137,0.64976,0.96204,0.70069,0.80183,0.78068,0.75558,0.3265,0.43692,0.42426,0.000628101,0.000628101,0.000628101
65,184.223,0.22974,0.70099,0.98894,0.71324,0.79413,0.81025,0.77809,0.32501,0.44195,0.43763,0.000618034,0.000618034,0.000618034
66,187.009,0.23349,0.68574,0.99053,0.73561,0.94657,0.89664,0.8125,0.38902,0.43281,0.52871,0.000607916,0.000607916,0.000607916
67,189.785,0.21112,0.66346,0.97835,0.71008,0.99976,0.90917,0.8455,0.36172,0.40499,0.4869,0.000597754,0.000597754,0.000597754
68,192.578,0.22919,0.66268,0.9925,0.73974,0.9215,0.90532,0.82743,0.3951,0.38687,0.51224,0.000587551,0.000587551,0.000587551
69,195.365,0.22462,0.69352,0.99061,0.79008,0.84062,0.86057,0.79494,0.35487,0.4025,0.4515,0.000577311,0.000577311,0.000577311
70,198.141,0.22791,0.71925,0.99064,0.71452,0.93197,0.85796,0.77284,0.45592,0.37686,0.56814,0.00056704,0.00056704,0.00056704
71,200.918,0.22002,0.68359,0.98171,0.70789,0.86459,0.85746,0.81781,0.25338,0.38766,0.33707,0.000556742,0.000556742,0.000556742
72,203.706,0.20853,0.62325,0.98136,0.80571,0.82935,0.84478,0.82012,0.25118,0.38693,0.34368,0.000546421,0.000546421,0.000546421
73,206.49,0.21784,0.70866,0.98181,0.79372,0.68185,0.80248,0.74644,0.32185,0.40457,0.40059,0.000536081,0.000536081,0.000536081
74,209.281,0.22221,0.71226,0.96602,0.61011,0.82202,0.80035,0.75553,0.32534,0.43452,0.40773,0.000525728,0.000525728,0.000525728
75,212.052,0.20898,0.66945,0.96512,0.74322,0.75074,0.81031,0.77796,0.33058,0.47808,0.44651,0.000515366,0.000515366,0.000515366
76,214.853,0.21965,0.68801,0.97854,0.78123,0.67782,0.7871,0.75023,0.32604,0.47425,0.44248,0.000505,0.000505,0.000505
77,217.863,0.21566,0.69721,0.97476,0.69547,0.67117,0.81213,0.7847,0.32678,0.4561,0.42827,0.000494634,0.000494634,0.000494634
78,220.641,0.20349,0.67792,0.98407,0.71505,0.66429,0.78265,0.72726,0.36778,0.5206,0.49049,0.000484272,0.000484272,0.000484272
79,223.419,0.20663,0.64266,0.97619,0.74346,0.72928,0.80272,0.76038,0.3164,0.50384,0.42654,0.000473919,0.000473919,0.000473919
80,226.211,0.18452,0.63069,0.95284,0.81428,0.64454,0.77951,0.74111,0.35905,0.5111,0.47331,0.000463579,0.000463579,0.000463579
81,228.974,0.19943,0.66281,0.96146,0.80642,0.68909,0.82548,0.77037,0.36142,0.44986,0.45448,0.000453258,0.000453258,0.000453258
82,231.745,0.21442,0.65953,0.96891,0.58433,0.88961,0.83358,0.79575,0.27175,0.4326,0.37937,0.00044296,0.00044296,0.00044296
83,234.521,0.20475,0.66389,0.9643,0.70398,0.78412,0.79574,0.7756,0.28104,0.404,0.36566,0.000432689,0.000432689,0.000432689
84,237.31,0.19532,0.6584,0.96971,0.73744,0.79922,0.79381,0.75692,0.30422,0.43434,0.37466,0.000422449,0.000422449,0.000422449
85,240.104,0.20577,0.65076,0.97117,0.76199,0.75993,0.77117,0.72808,0.32687,0.43587,0.41306,0.000412246,0.000412246,0.000412246
86,242.882,0.18998,0.61246,0.96145,0.7908,0.7614,0.79383,0.76505,0.29475,0.43177,0.36977,0.000402084,0.000402084,0.000402084
87,245.659,0.18552,0.59679,0.9532,0.80264,0.87829,0.84471,0.84195,0.23242,0.37187,0.29971,0.000391966,0.000391966,0.000391966
88,248.447,0.20965,0.66359,0.97382,0.79482,0.84406,0.84366,0.81359,0.30162,0.39315,0.36909,0.000381899,0.000381899,0.000381899
89,251.221,0.19439,0.6229,0.95946,0.77673,0.83401,0.85622,0.8016,0.32689,0.42725,0.3957,0.000371885,0.000371885,0.000371885
90,254.004,0.21616,0.63455,0.97645,0.67504,0.85556,0.87251,0.83112,0.30688,0.42569,0.38138,0.000361929,0.000361929,0.000361929
91,256.808,0.20517,0.65403,0.96993,0.74867,0.83674,0.86094,0.839,0.27854,0.40365,0.34991,0.000352037,0.000352037,0.000352037
92,259.602,0.19021,0.63235,0.96389,0.72723,0.8811,0.8604,0.81894,0.29598,0.44073,0.38109,0.000342211,0.000342211,0.000342211
93,262.378,0.1893,0.5834,0.97384,0.67925,0.76715,0.85853,0.79687,0.34786,0.44713,0.43867,0.000332457,0.000332457,0.000332457
94,265.152,0.18022,0.59252,0.96226,0.63144,0.81409,0.84583,0.78554,0.33176,0.45133,0.41712,0.000322778,0.000322778,0.000322778
95,267.936,0.20213,0.6282,0.96323,0.69163,0.73333,0.82628,0.75638,0.34781,0.46197,0.43441,0.00031318,0.00031318,0.00031318
96,270.731,0.20475,0.5973,0.96581,0.71595,0.73302,0.80486,0.74982,0.3276,0.45941,0.40268,0.000303665,0.000303665,0.000303665
97,273.495,0.18444,0.59198,0.96971,0.69455,0.71733,0.80555,0.75334,0.30959,0.45471,0.39547,0.000294239,0.000294239,0.000294239
98,276.272,0.19093,0.63598,0.96475,0.76072,0.798,0.83274,0.7667,0.36889,0.44199,0.4496,0.000284906,0.000284906,0.000284906
99,279.288,0.19056,0.63079,0.95783,0.72083,0.82371,0.85036,0.78509,0.37302,0.42844,0.45494,0.000275668,0.000275668,0.000275668
100,282.077,0.18596,0.60739,0.97192,0.80943,0.74538,0.82755,0.78721,0.33258,0.43919,0.41407,0.000266532,0.000266532,0.000266532
101,284.847,0.17696,0.59268,0.95985,0.77838,0.7286,0.84733,0.79861,0.31754,0.44233,0.39486,0.0002575,0.0002575,0.0002575
102,287.62,0.18184,0.65197,0.95667,0.7711,0.75118,0.84381,0.80525,0.32185,0.4306,0.40042,0.000248577,0.000248577,0.000248577
103,290.408,0.18267,0.59604,0.95868,0.65111,0.83886,0.81963,0.77754,0.32976,0.44898,0.41717,0.000239766,0.000239766,0.000239766
104,293.183,0.17569,0.58567,0.9472,0.78495,0.78531,0.81461,0.79302,0.28085,0.40185,0.35325,0.000231071,0.000231071,0.000231071
105,295.957,0.19853,0.63242,0.97028,0.75164,0.78662,0.80619,0.77969,0.30452,0.42971,0.39286,0.000222497,0.000222497,0.000222497
106,298.746,0.18363,0.5972,0.96114,0.70528,0.82455,0.8442,0.78692,0.3379,0.41404,0.41166,0.000214046,0.000214046,0.000214046
107,301.541,0.18586,0.5742,0.96017,0.7119,0.81667,0.86325,0.79947,0.33141,0.42425,0.39853,0.000205723,0.000205723,0.000205723
108,304.321,0.17977,0.58109,0.96119,0.72322,0.81855,0.85754,0.79491,0.33078,0.4063,0.40542,0.000197532,0.000197532,0.000197532
109,307.093,0.19218,0.64044,0.97238,0.704,0.83154,0.84026,0.80273,0.31678,0.40879,0.39419,0.000189475,0.000189475,0.000189475
110,309.872,0.18582,0.57964,0.96691,0.72134,0.78127,0.87253,0.84645,0.29269,0.39664,0.36117,0.000181557,0.000181557,0.000181557
111,312.654,0.20274,0.67125,0.97898,0.64729,0.83116,0.86259,0.84591,0.26751,0.39583,0.33368,0.00017378,0.00017378,0.00017378
112,315.433,0.19459,0.60547,0.9623,0.67906,0.82588,0.82848,0.82107,0.27275,0.42189,0.35488,0.000166149,0.000166149,0.000166149
113,318.201,0.19151,0.60002,0.96081,0.65911,0.83097,0.84561,0.83375,0.28462,0.41827,0.35985,0.000158667,0.000158667,0.000158667
114,321.008,0.18782,0.61647,0.96704,0.70813,0.72198,0.83297,0.82235,0.26503,0.39854,0.33007,0.000151336,0.000151336,0.000151336
115,323.793,0.16088,0.54244,0.94757,0.71555,0.74183,0.83168,0.8083,0.3034,0.40943,0.37189,0.000144161,0.000144161,0.000144161
116,326.573,0.18669,0.57894,0.96078,0.70227,0.81667,0.80647,0.78496,0.30127,0.40928,0.37055,0.000137143,0.000137143,0.000137143
117,329.348,0.18479,0.60711,0.95816,0.7234,0.8142,0.8079,0.79034,0.29011,0.41723,0.36697,0.000130287,0.000130287,0.000130287
118,332.152,0.20205,0.61287,0.96811,0.73079,0.80447,0.79331,0.77521,0.30469,0.41929,0.38626,0.000123596,0.000123596,0.000123596
119,334.932,0.17806,0.61556,0.96319,0.71569,0.79485,0.79927,0.76917,0.30464,0.42023,0.38902,0.000117072,0.000117072,0.000117072
